Epoch 1/20
Found 30 images belonging to 1 classes.
Found 30 images belonging to 1 classes.
2019-08-04 08:27:47.913689: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX AVX2
2019-08-04 08:27:48.115552: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: GeForce GTX 1070 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 8.00GiB freeMemory: 6.61GiB
2019-08-04 08:27:48.115844: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2019-08-04 08:27:48.477559: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-08-04 08:27:48.477715: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2019-08-04 08:27:48.477806: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2019-08-04 08:27:48.478011: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 6366 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1070 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
2019-08-04 08:27:54.736672: W tensorflow/core/common_runtime/bfc_allocator.cc:215] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.32GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2019-08-04 08:27:55.509972: W tensorflow/core/common_runtime/bfc_allocator.cc:215] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.38GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.

  1/300 [..............................] - ETA: 47:37 - loss: 0.3929 - acc: 0.9932
  2/300 [..............................] - ETA: 24:56 - loss: 0.2266 - acc: 0.9927
  3/300 [..............................] - ETA: 17:22 - loss: 0.1764 - acc: 0.9931
  4/300 [..............................] - ETA: 13:35 - loss: 0.1526 - acc: 0.9931
  5/300 [..............................] - ETA: 11:18 - loss: 0.1322 - acc: 0.9932
  6/300 [..............................] - ETA: 9:47 - loss: 0.1164 - acc: 0.9934 
  7/300 [..............................] - ETA: 8:42 - loss: 0.1062 - acc: 0.9934
  8/300 [..............................] - ETA: 7:53 - loss: 0.0976 - acc: 0.9935
  9/300 [..............................] - ETA: 7:14 - loss: 0.0902 - acc: 0.9937
 10/300 [>.............................] - ETA: 6:44 - loss: 0.0861 - acc: 0.9935
 11/300 [>.............................] - ETA: 6:18 - loss: 0.0822 - acc: 0.9934
 12/300 [>.............................] - ETA: 5:57 - loss: 0.0799 - acc: 0.9931
 13/300 [>.............................] - ETA: 5:39 - loss: 0.0772 - acc: 0.9930
 14/300 [>.............................] - ETA: 5:24 - loss: 0.0731 - acc: 0.9933
 15/300 [>.............................] - ETA: 5:11 - loss: 0.0709 - acc: 0.9933
 16/300 [>.............................] - ETA: 4:59 - loss: 0.0679 - acc: 0.9935
 17/300 [>.............................] - ETA: 4:48 - loss: 0.0655 - acc: 0.9936
 18/300 [>.............................] - ETA: 4:39 - loss: 0.0642 - acc: 0.9936
 19/300 [>.............................] - ETA: 4:30 - loss: 0.0630 - acc: 0.9935
 20/300 [=>............................] - ETA: 4:23 - loss: 0.0613 - acc: 0.9936
 21/300 [=>............................] - ETA: 4:16 - loss: 0.0607 - acc: 0.9934
 22/300 [=>............................] - ETA: 4:09 - loss: 0.0595 - acc: 0.9935
 23/300 [=>............................] - ETA: 4:04 - loss: 0.0586 - acc: 0.9934
 24/300 [=>............................] - ETA: 3:58 - loss: 0.0578 - acc: 0.9934
 25/300 [=>............................] - ETA: 3:53 - loss: 0.0573 - acc: 0.9933
 26/300 [=>............................] - ETA: 3:48 - loss: 0.0566 - acc: 0.9933
 27/300 [=>............................] - ETA: 3:44 - loss: 0.0560 - acc: 0.9932
 28/300 [=>............................] - ETA: 3:40 - loss: 0.0550 - acc: 0.9933
 29/300 [=>............................] - ETA: 3:36 - loss: 0.0544 - acc: 0.9933
 30/300 [==>...........................] - ETA: 3:32 - loss: 0.0536 - acc: 0.9933
 31/300 [==>...........................] - ETA: 3:29 - loss: 0.0527 - acc: 0.9934
 32/300 [==>...........................] - ETA: 3:26 - loss: 0.0518 - acc: 0.9935
 33/300 [==>...........................] - ETA: 3:23 - loss: 0.0515 - acc: 0.9935
 34/300 [==>...........................] - ETA: 3:20 - loss: 0.0513 - acc: 0.9934
 35/300 [==>...........................] - ETA: 3:17 - loss: 0.0507 - acc: 0.9934
 36/300 [==>...........................] - ETA: 3:14 - loss: 0.0503 - acc: 0.9934
